name,loadspec,smoothing,earlyTime,lateTime,earlyGain,lateGain,returnGain,earlyLpf,lateLpf,inputLpf,dampLpf,wallReflect,dryGain,earlySize,lateSize,diffusion
wmd_corridor,mpl_array,0.46,0.6550001,0.4050002,1.135665,0.3959801,0.445805,0.25,0.355,0.315,0.405,0.23,0,10.83251,6.618997,0.7849998
array_outside,mpl_array,0.5,0.425,0.48,0.3315235,0.1151112,2.743236,0.5949999,0,0.635,0.6000001,0.2099999,0,5,11.7575,0.16
array_hangar_med,mpl_array,0.5,0.2399999,0.4550001,0.2948095,1.226345,0.6604258,0.455,0.5099999,0.455,0.35,0.82,0,4.920501,4.6025,0.39
array_metal_room,mpl_array,0.5,0.375,0.505,1.511637,0.8952447,0.5822443,0.385,0.275,0.325,0.42,0.5500001,0,4.046,3.569,0.1450001
array_container,mpl_array,0.5,0.6750001,0.6150001,0.9693578,1,0.3597343,0.7449999,0,0,0.66,0.78,0,5,2.8535,0.5
array_small_room,mpl_array,0.525,0.65,0.42,0.755305,0.8158321,0.5865667,0.13,0.075,0.26,0.47,0.6750001,0,5.664999,3.8365,0.16
array_partial_room,mpl_array,0.5,0.315,0.565,0.7793059,0.66,1.130543,0.385,0.72,0.48,0.43,0.175,0,3.1715,3.1715,0.5
array_sat_station,mpl_array,0.5,0.345,0.47,0.8475981,0.6041108,1.013757,0.32,0.615,0.32,0.365,0.315,0,4.204999,4.7615,0.85
array_sat_room_1,mpl_array,0.525,0.55,0.475,0.8699943,0.8158321,1,0.57,0.595,0.455,0.4949999,0.6750001,0,5.664999,3.8365,0.16
array_sat_room_2,mpl_array,0.525,0.295,0.53,0.8699943,0.8158321,1.278726,0.57,0.355,0.455,0.3199999,0.6750001,0,5.664999,3.8365,0.16
array_tunnel,mpl_array,0.46,0.3550001,0.6250002,1.135665,0.8058601,1.048688,0.25,0.355,0.595,0.61,0.69,0,4.711008,5.744497,0.1799998
