name,loadspec,smoothing,earlyTime,lateTime,earlyGain,lateGain,returnGain,earlyLpf,lateLpf,inputLpf,dampLpf,wallReflect,dryGain,earlySize,lateSize,diffusion
radiation_outdoor,mpl_radiation,0.5,0.425,0.48,0.3315235,0.1151112,2.743236,0.5949999,0,0.635,0.6000001,0.2099999,0,5,11.7575,0.16
radiation_recessed,mpl_radiation,0.5,0.265,0.395,1.370412,0.1857519,1.760259,0.67,0.57,0.615,0.3249999,0.28,0,2.217495,6.430995,0.275
radiation_stonecorridor,mpl_radiation,0.5,0.75,0.405,0.5000001,1,0.7132238,0.315,0.19,0.37,0.5349999,0.6249999,0,4.682,8.021,0.81
radiation_crawlspace,mpl_radiation,0.5,0.475,0.34,0.9298208,0.7362747,1.364984,0.305,0,0.175,0.405,0.84,0,2.297002,4.9205,0.865
radiation_crawlspace_2,mpl_radiation,0.5,0.475,0.34,0.9298208,0.7362747,1.364984,0.305,0,0.175,0.405,0.84,0,2.297002,4.9205,0.865
radiation_tunnel,mpl_radiation,0.5,0.72,0.63,0.715,1.5,0.7636991,0.67,0.57,0.205,0.4449999,0.28,0,4.999995,4.999995,0.275
radiation_under_room,mpl_radiation,0.525,0.55,0.475,0.8699943,0.8158321,1,0.57,0.595,0.455,0.4949999,0.6750001,0,5.664999,3.8365,0.16
radiation_large,mpl_radiation,0.495,0.705,0.5950002,0.8919507,0.6788099,0.7781968,0.8349999,0.2350001,0.265,0.545,0.7100002,0,6.430995,5.795,0.3350001
radiation_smallroom,mpl_radiation,0.35,0.35,0.42,1.136944,0.8158321,1.23388,0.13,0.34,0.35,0.3949999,0.6750001,0,5.664999,3.8365,0.16
radiation_stairwell,mpl_radiation,0.5,0.675,0.33,0.3574387,0.64,2.44767,0.1850001,0.47,0.24,0.5,0.8,0,3.887,5.954,0.1
radiation_corridor,mpl_radiation,0.5,0.475,0.34,0.9298208,0.7362747,1.364984,0.305,0.32,0.335,0.405,0.84,0,2.297002,4.9205,0.865
