name,loadspec,smoothing,earlyTime,lateTime,earlyGain,lateGain,returnGain,earlyLpf,lateLpf,inputLpf,dampLpf,wallReflect,dryGain,earlySize,lateSize,diffusion
default,,0.5,0.35,0.345,0.2501341,0.175924,1,0.345,0,0.635,0,0.5,0,5,5,0.5
alley,,0.5,0.655,0.345,0.525,1,1,0.6,0.395,0.26,0.8300001,0.89,0,6.272004,6.272004,0.5
bathroom,,0.5,0.675,0.675,1,0.64,1,0,0,0.14,0.69,1,0,3.251,3.251,0.5
ber1,,0.5,0.565,0.565,1,0.945,1,0.19,0.775,0.29,0.4800001,0.345,0,6.510501,6.510501,0.5
cave,,0.5,0.385,0.54,0.715,1.5,0.9166328,0.385,0.57,0.565,0.4649999,0.24,0,2.535495,3.330495,0.62
forest,,0.5,0.4699999,0.4699999,0.43,1,1,0.255,0.26,0.28,0.345,0.195,0,7.146504,7.146504,0.5
hallway,,0.5,0.59,0.59,1.26,0.36,1,0.305,0,0.175,0.405,0.37,0,4.1255,4.1255,0.5
hangar,,0.5,0.6050002,0.6050001,0.69,0.65,1.011175,0.005,0.8750001,0.595,0.62,0.6850001,0,7.305499,7.305499,0.5
largeroom,,0.5,0.535,0.535,1.22,1.54,1,0.43,0.7899999,0.51,0.49,0.2849999,0,11.678,11.678,0.5
livingroom,,0.5,0.485,0.485,0.82,0.965,1,0.475,0.565,0.32,0.825,1,0,2.6945,2.6945,0.5
mediumroom,,0.5,0.695,0.695,0.02549895,0.6210231,1,0.325,0.55,0.125,0.07999996,0.455,0,7.146495,7.146495,0.5
smallroom,,0.525,0.48,0.48,1,0.9850001,1,0.13,0.665,0.215,0.005,0.9950001,0,1.1335,1.1335,0.5
mountains,,0.5,0.36,0.36,0.535,0.3999999,1,0.825,0.8000001,0.615,0.6649999,0.265,0,11.51901,11.51901,0.5
parkinglot,,0.5,0.7950001,0.7950001,0.38,0.7599999,1,0.295,0.27,0.42,0.4799999,0.01,0,5.874499,5.874499,0.5
plain,,0.5,0.34,0.34,0.5550001,0.6,1,0.605,0.525,0.48,0.545,0.5,0,3.251,3.251,0.5
quarry,,0.5,0.7000001,0.7000001,0.2,0.485,1,0.58,0.85,0.335,0.695,1,0,9.451998,9.451998,0.5
sewerpipe,,0.5,0.6750001,0.6750001,0.8849999,1,1,0.7449999,0,0,0.66,0.78,0,5,5,0.5
stonecorridor,,0.5,0.75,0.75,0.5000001,1,1,0.315,0.19,0.285,0.27,0.8199999,0,4.682,4.682,0.5
stoneroom,,0.5,0.705,0.54,0.805,0.66,0.7930958,0.385,0.72,0.035,0.595,0.82,0,3.1715,2.774,0.5
under_bridge,,0.5,0.305,0.305,0.5900001,1,1,0.43,0.62,0.6049999,0.3,0.5,0,6.908007,6.908007,0.5
underwater,,0.945,0.6850001,0.6700001,1.54,1.42,0.4498525,0.4149999,0.36,0.82,0.955,0.855,0,6.749,6.749,0.5
wood_room,,0.5,0.45,0.45,1,1,1,0.385,0.78,0.59,0.695,0.5,0,5,5,0.5
city,,0.5,0.37,0.37,0.825,1,1,0.245,0,0.06499997,0.2650001,1,0,9.452004,9.452004,0.5
flashpoint_outside,,0.375,0.4149999,0.41,0.1356526,0.4018039,1.607882,0.3249999,0.66,0.37,0.4150001,0.4199999,0,4.046001,9.928989,0.16
wmd_window_breach,,0.4200001,0.6299999,0.5450001,2.42,2.54,1,0.745,0.8,0.745,0.89,0.765,0,10.6735,8.606498,0.5
mp_final_killcam,,0.76,0.3150001,0.6550001,0.1219779,0.4962824,1.091943,0.525,0.385,0.205,0.375,0.195,0,2.723499,3.438999,0.82
shock_death,,0.99,0.645,0.655,2.42,2.54,1,0.745,0.8,0.745,0.665,0.765,0,13.8535,14.1715,0.5
shock_flare,,0.99,0.95,0.95,2.42,2.54,1,0.745,0.8,0.745,0.665,0.765,0,16,16,0.5
shock_flashbang,,0.99,0.95,0.95,2.42,2.54,1,0.745,0.8,0.745,0.665,0.765,0,16,16,0.5
shock_vorkuta_gas,,0.495,0.405,0.5,2.42,2.54,0.7105466,0.745,0.8,0.745,0.665,0.765,0,6.062496,5.585496,0.5
wii_gun_recording,,0.5,0.485,0.375,0.2817803,0.3557587,1.872075,0.32,0.2,0.32,0.38,0.34,0,6.589999,3.569,0.805
frontend_room,,0.525,0.48,0.42,0.755305,0.8158321,2.57495,0.13,0.075,0.455,0.5899999,0.3500001,0,5.664999,3.8365,0.16
frontend_elec,,0.99,0.95,0.95,2.42,2.54,1,0.745,0.8,0.745,0.665,0.765,0,16,16,0.5
