name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot,voice_limit,file_xenon,file_size_xenon,file_ps3,file_size_ps3,file_pc,file_size_pc,source_csv,language
amb_air_vents,raw\sound\evt\int_escape\air_vents\amb_air_vents_b.wav,amb_500,,,ambience,94,94,100,150,500,600,log1,log3,allon,rdefault,4,priority,5,reject,0,0,0,10,50,0,1,3d,loaded,looping,,1,0,96,,default,0,40,80,94,0.25,0.5,no,yes,none,1000,no,,both,no,no,,,65,no,no,0,0,wma,yes,no,world,ambience,no,raw\sound\evt\int_escape\air_vents\amb_air_vents_b_l.xm4,0,raw\sound\evt\int_escape\air_vents\amb_air_vents_b_l.mp3,0,raw\sound\evt\int_escape\air_vents\amb_air_vents_b_l.wav,0,spl_frontend,all
amb_breathing_aparatus,,amb_1000,,,ambience,90,90,100,100,1000,1000,log2,default,allon,rdefault,1,reject,5,reject,-100,100,0,10,50,0,1,3d,loaded,nonlooping,,1,0,95,,default,0,30,400,93,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,65,no,no,0,0,wma,yes,no,world,ambience,no,,0,,0,,0,spl_frontend,all
amb_breathing_aparatus_scripted,raw\sound\amb\aparatus\aparatus_00.wav,amb_1000,,,ambience,80,80,100,100,1000,1000,log2,default,allon,rdefault,2,oldest,5,reject,-100,100,0,10,50,0,1,3d,loaded,nonlooping,,1,0,95,,default,0,30,400,93,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,65,no,no,0,0,wma,yes,no,world,ambience,no,raw\sound\amb\aparatus\aparatus_00.xm4,0,raw\sound\amb\aparatus\aparatus_00.mp3,0,raw\sound\amb\aparatus\aparatus_00.wav,0,spl_frontend,all
amb_data_flow_oneshots,raw\sound\amb\electronics\computer\data_flow\data_flow_00.wav,amb_500,,,ambience,91,93,100,100,500,500,log2,log1,allon,rdefault,4,oldest,5,reject,-600,400,0,10,50,0,1,3d,loaded,nonlooping,,1,0,96,,default,0,40,80,97,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,65,no,no,0,0,wma,yes,no,world,ambience,no,raw\sound\amb\electronics\computer\data_flow\data_flow_00.xm4,0,raw\sound\amb\electronics\computer\data_flow\data_flow_00.mp3,0,raw\sound\amb\electronics\computer\data_flow\data_flow_00.wav,0,spl_frontend,all
amb_data_flow_oneshots,raw\sound\amb\electronics\computer\data_flow\data_flow_01.wav,amb_500,,,ambience,91,93,100,100,500,500,log2,log1,allon,rdefault,4,oldest,5,reject,-600,400,0,10,50,0,1,3d,loaded,nonlooping,,1,0,96,,default,0,40,80,97,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,65,no,no,0,0,wma,yes,no,world,ambience,no,raw\sound\amb\electronics\computer\data_flow\data_flow_01.xm4,0,raw\sound\amb\electronics\computer\data_flow\data_flow_01.mp3,0,raw\sound\amb\electronics\computer\data_flow\data_flow_01.wav,0,spl_frontend,all
amb_data_flow_oneshots,raw\sound\amb\electronics\computer\data_flow\data_flow_02.wav,amb_500,,,ambience,91,93,100,100,500,500,log2,log1,allon,rdefault,4,oldest,5,reject,-600,400,0,10,50,0,1,3d,loaded,nonlooping,,1,0,96,,default,0,40,80,97,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,65,no,no,0,0,wma,yes,no,world,ambience,no,raw\sound\amb\electronics\computer\data_flow\data_flow_02.xm4,0,raw\sound\amb\electronics\computer\data_flow\data_flow_02.mp3,0,raw\sound\amb\electronics\computer\data_flow\data_flow_02.wav,0,spl_frontend,all
amb_data_flow_oneshots,raw\sound\amb\electronics\computer\data_flow\data_flow_03.wav,amb_500,,,ambience,91,93,100,100,500,500,log2,log1,allon,rdefault,4,oldest,5,reject,-600,400,0,10,50,0,1,3d,loaded,nonlooping,,1,0,96,,default,0,40,80,97,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,65,no,no,0,0,wma,yes,no,world,ambience,no,raw\sound\amb\electronics\computer\data_flow\data_flow_03.xm4,0,raw\sound\amb\electronics\computer\data_flow\data_flow_03.mp3,0,raw\sound\amb\electronics\computer\data_flow\data_flow_03.wav,0,spl_frontend,all
amb_electrical_motor,raw\sound\amb\electronics\computer\loops\fan\amb_computer_fan.wav,amb_500,,,ambience,80,80,100,100,500,500,log2,log1,allon,rdefault,4,priority,5,reject,0,0,0,10,50,0,1,3d,streamed,looping,,1,0,96,,default,0,40,80,94,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,65,no,no,0,0,wma,yes,no,world,ambience,no,discdata\sound\amb\electronics\computer\loops\fan\amb_computer_fan_l.xm4,0,discdata\sound\amb\electronics\computer\loops\fan\amb_computer_fan_l.mp3,0,discdata\sound\amb\electronics\computer\loops\fan\amb_computer_fan_l.wav,0,spl_frontend,all
amb_light_buzz_chair,raw\sound\amb\lights\hum\hum_00.wav,amb_500,,,ambience,90,90,100,100,500,500,log2,log1,allon,rdefault,4,priority,5,reject,0,0,0,10,50,0,1,3d,loaded,looping,,1,0,96,,default,0,40,80,94,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,65,no,no,0,0,wma,yes,no,world,ambience,no,raw\sound\amb\lights\hum\hum_00_l.xm4,0,raw\sound\amb\lights\hum\hum_00_l.mp3,0,raw\sound\amb\lights\hum\hum_00_l.wav,0,spl_frontend,all
amb_light_flourescent,raw\sound\amb\lights\flourescent\flourescent.wav,amb_500,,,ambience,91,91,100,100,500,500,log2,log1,allon,rdefault,4,priority,5,reject,0,0,0,10,50,0,1,3d,loaded,looping,,1,0,96,,default,0,40,80,94,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,65,no,no,0,0,wma,yes,no,world,ambience,no,raw\sound\amb\lights\flourescent\flourescent_l.xm4,0,raw\sound\amb\lights\flourescent\flourescent_l.mp3,0,raw\sound\amb\lights\flourescent\flourescent_l.wav,0,spl_frontend,all
amb_light_hum,raw\sound\amb\lights\hum\hum_00.wav,amb_500,,,ambience,94,98,100,100,500,500,log2,default,allon,rdefault,4,priority,5,reject,-400,400,0,10,50,0,1,3d,loaded,looping,pitch,1,0,95,,default,0,20,120,93,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,65,no,no,0,0,wma,yes,no,world,ambience,no,raw\sound\amb\lights\hum\hum_00_l.xm4,0,raw\sound\amb\lights\hum\hum_00_l.mp3,0,raw\sound\amb\lights\hum\hum_00_l.wav,0,spl_frontend,all
amb_light_trippy,raw\sound\evt\int_escape\amb_light_trippy\amb_light_trippy.wav,amb_500,,,ambience,91,91,100,100,500,500,log2,log1,allon,rdefault,4,priority,5,reject,0,0,0,10,50,0,1,3d,loaded,looping,,1,0,96,,default,0,40,80,94,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,65,no,no,0,0,wma,yes,no,world,ambience,no,raw\sound\evt\int_escape\amb_light_trippy\amb_light_trippy_l.xm4,0,raw\sound\evt\int_escape\amb_light_trippy\amb_light_trippy_l.mp3,0,raw\sound\evt\int_escape\amb_light_trippy\amb_light_trippy_l.wav,0,spl_frontend,all
amb_mainframe_loop,raw\sound\amb\electronics\computer\loops\mainframe\mainframe_loop_02.wav,amb_500,,,ambience,91,91,100,100,500,500,log2,log1,allon,rdefault,4,priority,5,reject,-600,-600,0,10,50,0,1,3d,streamed,looping,,1,0,96,,default,0,40,80,94,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,65,no,no,0,0,wma,yes,no,world,ambience,no,discdata\sound\amb\electronics\computer\loops\mainframe\mainframe_loop_02_l.xm4,0,discdata\sound\amb\electronics\computer\loops\mainframe\mainframe_loop_02_l.mp3,0,discdata\sound\amb\electronics\computer\loops\mainframe\mainframe_loop_02_l.wav,0,spl_frontend,all
amb_player_heartbeat,raw\sound\evt\int_escape\heartbeat\amb_heartbeat_00.wav,evt_2d,,,voice_player,88,88,100,0,0,0,default,default,allon,rdefault,5,oldest,5,reject,0,0,0,100,100,0,1,2d,loaded,nonlooping,,1,0,92,,quad,0,0,0,0,0,0.5,no,no,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,voice_player,yes,raw\sound\evt\int_escape\heartbeat\amb_heartbeat_00.xm4,0,raw\sound\evt\int_escape\heartbeat\amb_heartbeat_00.mp3,0,raw\sound\evt\int_escape\heartbeat\amb_heartbeat_00.wav,0,spl_frontend,all
