name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot,voice_limit,file_xenon,file_size_xenon,file_ps3,file_size_ps3,file_pc,file_size_pc,source_csv,language
amb_sparks,raw\sound\amb\industrial\power\arcs\small\small_00.wav,,,,ambience,90,93,100,500,5000,10000,curve3,curve2,allon,rdefault,5,priority,5,reject,-182,84,0,50,95,0.25,1,3d,loaded,nonlooping,,1,0,96,,default,0,0,0,0,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,ambience,no,raw\sound\amb\industrial\power\arcs\small\small_00.xm4,0,raw\sound\amb\industrial\power\arcs\small\small_00.mp3,0,raw\sound\amb\industrial\power\arcs\small\small_00.wav,0,zmb_common,all
amb_sparks,raw\sound\amb\industrial\power\arcs\small\small_01.wav,,,,ambience,90,93,100,500,5000,10000,curve3,curve2,allon,rdefault,5,priority,5,reject,-182,84,0,50,95,0.25,1,3d,loaded,nonlooping,,1,0,96,,default,0,0,0,0,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,ambience,no,raw\sound\amb\industrial\power\arcs\small\small_01.xm4,0,raw\sound\amb\industrial\power\arcs\small\small_01.mp3,0,raw\sound\amb\industrial\power\arcs\small\small_01.wav,0,zmb_common,all
amb_sparks,raw\sound\amb\industrial\power\arcs\small\small_02.wav,,,,ambience,90,93,100,500,5000,10000,curve3,curve2,allon,rdefault,5,priority,5,reject,-182,84,0,50,95,0.25,1,3d,loaded,nonlooping,,1,0,96,,default,0,0,0,0,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,ambience,no,raw\sound\amb\industrial\power\arcs\small\small_02.xm4,0,raw\sound\amb\industrial\power\arcs\small\small_02.mp3,0,raw\sound\amb\industrial\power\arcs\small\small_02.wav,0,zmb_common,all
amb_sparks_l,raw\sound\evt\zombie_global\switch\power\flux\flux_l.wav,,,,ambience,96,96,100,350,2600,4500,default,curve2,allon,rdefault,1,oldest,5,reject,0,0,0,100,100,0.25,1,3d,loaded,nonlooping,,1,2000,96,,default,0,0,0,0,0,0.5,no,yes,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,ambience,no,raw\sound\evt\zombie_global\switch\power\flux\flux_l.xm4,0,raw\sound\evt\zombie_global\switch\power\flux\flux_l.mp3,0,raw\sound\evt\zombie_global\switch\power\flux\flux_l.wav,0,zmb_common,all
amb_sparks_l_b,raw\sound\evt\zombie_global\switch\flip\flux\flux_l.wav,,,,ambience,96,96,100,250,2500,4000,default,curve2,allon,rdefault,1,oldest,5,reject,0,0,0,100,100,0.25,1,3d,loaded,nonlooping,,1,0,96,,default,0,0,0,0,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,ambience,no,raw\sound\evt\zombie_global\switch\flip\flux\flux_l.xm4,0,raw\sound\evt\zombie_global\switch\flip\flux\flux_l.mp3,0,raw\sound\evt\zombie_global\switch\flip\flux\flux_l.wav,0,zmb_common,all
amb_sparks_l_end,raw\sound\evt\zombie_global\switch\power\flux_end\flux_l.wav,,,,ambience,96,96,100,350,2600,4500,default,curve1,allon,rdefault,1,oldest,5,reject,0,0,0,100,100,0.25,1,3d,loaded,nonlooping,,1,0,96,,default,0,0,0,0,0,0.5,no,yes,left_player,7000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,ambience,no,raw\sound\evt\zombie_global\switch\power\flux_end\flux_l.xm4,0,raw\sound\evt\zombie_global\switch\power\flux_end\flux_l.mp3,0,raw\sound\evt\zombie_global\switch\power\flux_end\flux_l.wav,0,zmb_common,all
amb_sparks_loop,raw\sound\amb\industrial\power\arcs\loop\loop_00.wav,,,,ambience,95,95,100,80,750,4000,default,curve2,allon,rdefault,1,oldest,5,reject,0,0,0,100,100,0.25,1,3d,loaded,nonlooping,,1,0,96,,default,0,0,0,0,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,ambience,no,raw\sound\amb\industrial\power\arcs\loop\loop_00.xm4,0,raw\sound\amb\industrial\power\arcs\loop\loop_00.mp3,0,raw\sound\amb\industrial\power\arcs\loop\loop_00.wav,0,zmb_common,all
amb_sparks_r,raw\sound\evt\zombie_global\switch\power\flux\flux_r.wav,,,,ambience,96,96,100,350,2600,4500,default,curve2,allon,rdefault,1,oldest,5,reject,0,0,0,100,100,0.25,1,3d,loaded,nonlooping,,1,1850,96,,default,0,0,0,0,0,0.5,no,yes,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,ambience,no,raw\sound\evt\zombie_global\switch\power\flux\flux_r.xm4,0,raw\sound\evt\zombie_global\switch\power\flux\flux_r.mp3,0,raw\sound\evt\zombie_global\switch\power\flux\flux_r.wav,0,zmb_common,all
amb_sparks_r_b,raw\sound\evt\zombie_global\switch\flip\flux\flux_r.wav,,,,ambience,96,96,100,250,2500,4000,default,curve2,allon,rdefault,1,oldest,5,reject,0,0,0,100,100,0.25,1,3d,loaded,nonlooping,,1,0,96,,default,0,0,0,0,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,ambience,no,raw\sound\evt\zombie_global\switch\flip\flux\flux_r.xm4,0,raw\sound\evt\zombie_global\switch\flip\flux\flux_r.mp3,0,raw\sound\evt\zombie_global\switch\flip\flux\flux_r.wav,0,zmb_common,all
amb_sparks_r_end,raw\sound\evt\zombie_global\switch\power\flux_end\flux_r.wav,,,,ambience,96,96,100,350,2600,4500,default,curve1,allon,rdefault,1,oldest,5,reject,0,0,0,100,100,0.25,1,3d,loaded,nonlooping,,1,0,96,,default,0,0,0,0,0,0.5,no,yes,right_player,7000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,ambience,no,raw\sound\evt\zombie_global\switch\power\flux_end\flux_r.xm4,0,raw\sound\evt\zombie_global\switch\power\flux_end\flux_r.mp3,0,raw\sound\evt\zombie_global\switch\power\flux_end\flux_r.wav,0,zmb_common,all
