name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot,voice_limit,file_xenon,file_size_xenon,file_ps3,file_size_ps3,file_pc,file_size_pc,source_csv,language
amb_alarm_buzz,raw\sound\amb\alarms\buzz\buzz_00.wav,,,,ambience,94,94,100,150,3750,4000,default,default,allon,rdefault,5,priority,5,reject,0,0,0,100,100,0.25,1,3d,loaded,nonlooping,,1,0,100,,default,0,250,800,98,0.15,0.5,no,yes,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,ambience,no,raw\sound\amb\alarms\buzz\buzz_00.xm4,0,raw\sound\amb\alarms\buzz\buzz_00.mp3,0,raw\sound\amb\alarms\buzz\buzz_00.wav,0,zmb_cosmodrome,all
amb_bg_hollow_wind,raw\sound\amb\environment\wind\hollow\stereo\hollow_stereo.wav,,,,ambience,94,94,100,0,0,0,default,default,allon,rdefault,5,priority,5,reject,0,0,0,100,100,0.25,1,2d,streamed,looping,,1,0,92,,front_mostly,0,0,0,0,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,ambience,no,discdata\sound\amb\environment\wind\hollow\stereo\hollow_stereo_l.xm4,0,discdata\sound\amb\environment\wind\hollow\stereo\hollow_stereo_l.mp3,0,discdata\sound\amb\environment\wind\hollow\stereo\hollow_stereo_l.wav,0,zmb_cosmodrome,all
amb_computer_a,raw\sound\amb\electronics\computer\loops\beeps_n_boops\beeps.wav,,,,ambience,88,88,100,85,400,450,default,default,allon,rdefault,5,priority,5,reject,0,0,0,100,50,0,1,3d,streamed,looping,,1,0,100,,default,0,0,0,0,0.85,0.5,no,yes,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,ambience,no,discdata\sound\amb\electronics\computer\loops\beeps_n_boops\beeps_l.xm4,0,discdata\sound\amb\electronics\computer\loops\beeps_n_boops\beeps_l.mp3,0,discdata\sound\amb\electronics\computer\loops\beeps_n_boops\beeps_l.wav,0,zmb_cosmodrome,all
amb_computer_b,raw\sound\amb\electronics\computer\loops\beeps_n_boops\boops.wav,,,,ambience,87,87,100,85,400,450,default,default,allon,rdefault,5,priority,5,reject,0,0,0,100,50,0,1,3d,loaded,looping,,1,0,100,,default,0,0,0,0,0.85,0.5,no,yes,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,ambience,no,raw\sound\amb\electronics\computer\loops\beeps_n_boops\boops_l.xm4,0,raw\sound\amb\electronics\computer\loops\beeps_n_boops\boops_l.mp3,0,raw\sound\amb\electronics\computer\loops\beeps_n_boops\boops_l.wav,0,zmb_cosmodrome,all
amb_diesel_run,raw\sound\amb\industrial\generator\generator.wav,,,,ambience,97,97,100,250,1000,1250,default,default,allon,rdefault,5,priority,5,reject,-281,165,0,100,100,0.25,1,3d,loaded,looping,,1,0,100,,default,0,250,800,94,0.15,0.5,no,yes,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,ambience,no,raw\sound\amb\industrial\generator\generator_l.xm4,0,raw\sound\amb\industrial\generator\generator_l.mp3,0,raw\sound\amb\industrial\generator\generator_l.wav,0,zmb_cosmodrome,all
amb_fan_run,raw\sound\amb\industrial\fan\thumpy\thumpy.wav,,,,ambience,97,97,100,250,1000,1250,default,default,allon,rdefault,5,priority,5,reject,-281,165,0,100,100,0.25,1,3d,loaded,looping,,1,0,100,,default,0,250,800,94,0.15,0.5,no,yes,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,ambience,no,raw\sound\amb\industrial\fan\thumpy\thumpy_l.xm4,0,raw\sound\amb\industrial\fan\thumpy\thumpy_l.mp3,0,raw\sound\amb\industrial\fan\thumpy\thumpy_l.wav,0,zmb_cosmodrome,all
amb_hawk,raw\sound\amb\animals\birds\red_tail_hawk\red_tail_hawk_00.wav,,,,ambience,70,80,100,150,3750,4000,default,default,allon,rdefault,1,reject,5,reject,0,0,0,25,50,0,1,3d,loaded,nonlooping,,1,0,100,,default,0,250,800,98,0.15,0.5,no,yes,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,ambience,no,raw\sound\amb\animals\birds\red_tail_hawk\red_tail_hawk_00.xm4,0,raw\sound\amb\animals\birds\red_tail_hawk\red_tail_hawk_00.mp3,0,raw\sound\amb\animals\birds\red_tail_hawk\red_tail_hawk_00.wav,0,zmb_cosmodrome,all
amb_hawk,raw\sound\amb\animals\birds\red_tail_hawk\red_tail_hawk_01.wav,,,,ambience,70,80,100,150,3750,4000,default,default,allon,rdefault,1,reject,5,reject,0,0,0,25,50,0,1,3d,loaded,nonlooping,,1,0,100,,default,0,250,800,98,0.15,0.5,no,yes,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,ambience,no,raw\sound\amb\animals\birds\red_tail_hawk\red_tail_hawk_01.xm4,0,raw\sound\amb\animals\birds\red_tail_hawk\red_tail_hawk_01.mp3,0,raw\sound\amb\animals\birds\red_tail_hawk\red_tail_hawk_01.wav,0,zmb_cosmodrome,all
amb_hawk,raw\sound\amb\animals\birds\red_tail_hawk\red_tail_hawk_02.wav,,,,ambience,70,80,100,150,3750,4000,default,default,allon,rdefault,1,reject,5,reject,0,0,0,25,50,0,1,3d,loaded,nonlooping,,1,0,100,,default,0,250,800,98,0.15,0.5,no,yes,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,ambience,no,raw\sound\amb\animals\birds\red_tail_hawk\red_tail_hawk_02.xm4,0,raw\sound\amb\animals\birds\red_tail_hawk\red_tail_hawk_02.mp3,0,raw\sound\amb\animals\birds\red_tail_hawk\red_tail_hawk_02.wav,0,zmb_cosmodrome,all
amb_hawk,raw\sound\amb\animals\birds\red_tail_hawk\red_tail_hawk_03.wav,,,,ambience,70,80,100,150,3750,4000,default,default,allon,rdefault,1,reject,5,reject,0,0,0,25,50,0,1,3d,loaded,nonlooping,,1,0,100,,default,0,250,800,98,0.15,0.5,no,yes,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,ambience,no,raw\sound\amb\animals\birds\red_tail_hawk\red_tail_hawk_03.xm4,0,raw\sound\amb\animals\birds\red_tail_hawk\red_tail_hawk_03.mp3,0,raw\sound\amb\animals\birds\red_tail_hawk\red_tail_hawk_03.wav,0,zmb_cosmodrome,all
amb_open_wind,raw\sound\amb\environment\wind\tunnel\opening.wav,,,,event,97,97,100,75,250,300,default,default,allon,rdefault,5,priority,5,reject,0,0,0,25,50,0,1,3d,loaded,looping,,1,0,100,,default,0,50,250,83,0.75,0.5,no,yes,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,event,no,raw\sound\amb\environment\wind\tunnel\opening_l.xm4,0,raw\sound\amb\environment\wind\tunnel\opening_l.mp3,0,raw\sound\amb\environment\wind\tunnel\opening_l.wav,0,zmb_cosmodrome,all
