name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot,voice_limit,file_xenon,file_size_xenon,file_ps3,file_size_ps3,file_pc,file_size_pc,source_csv,language
amb_bang,raw\sound\evt\zombie_theater\telerooms\bang\bang_00.wav,amb_500,,,ambience,95,95,100,100,500,500,log2,log1,allon,rdefault,4,priority,5,reject,-100,100,0,10,50,0,1,3d,loaded,nonlooping,,1,0,95,,default,0,20,120,93,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,65,no,no,0,0,wma,yes,no,world,ambience,no,raw\sound\evt\zombie_theater\telerooms\bang\bang_00.xm4,0,raw\sound\evt\zombie_theater\telerooms\bang\bang_00.mp3,0,raw\sound\evt\zombie_theater\telerooms\bang\bang_00.wav,0,zmb_theater,all
amb_bang,raw\sound\evt\zombie_theater\telerooms\bang\bang_01.wav,amb_500,,,ambience,95,95,100,100,500,500,log2,log1,allon,rdefault,4,priority,5,reject,-100,100,0,10,50,0,1,3d,loaded,nonlooping,,1,0,95,,default,0,20,120,93,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,65,no,no,0,0,wma,yes,no,world,ambience,no,raw\sound\evt\zombie_theater\telerooms\bang\bang_01.xm4,0,raw\sound\evt\zombie_theater\telerooms\bang\bang_01.mp3,0,raw\sound\evt\zombie_theater\telerooms\bang\bang_01.wav,0,zmb_theater,all
amb_bang,raw\sound\evt\zombie_theater\telerooms\bang\bang_02.wav,amb_500,,,ambience,95,95,100,100,500,500,log2,log1,allon,rdefault,4,priority,5,reject,-100,100,0,10,50,0,1,3d,loaded,nonlooping,,1,0,95,,default,0,20,120,93,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,65,no,no,0,0,wma,yes,no,world,ambience,no,raw\sound\evt\zombie_theater\telerooms\bang\bang_02.xm4,0,raw\sound\evt\zombie_theater\telerooms\bang\bang_02.mp3,0,raw\sound\evt\zombie_theater\telerooms\bang\bang_02.wav,0,zmb_theater,all
amb_bang,raw\sound\evt\zombie_theater\telerooms\bang\bang_03.wav,amb_500,,,ambience,95,95,100,100,500,500,log2,log1,allon,rdefault,4,priority,5,reject,-100,100,0,10,50,0,1,3d,loaded,nonlooping,,1,0,95,,default,0,20,120,93,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,65,no,no,0,0,wma,yes,no,world,ambience,no,raw\sound\evt\zombie_theater\telerooms\bang\bang_03.xm4,0,raw\sound\evt\zombie_theater\telerooms\bang\bang_03.mp3,0,raw\sound\evt\zombie_theater\telerooms\bang\bang_03.wav,0,zmb_theater,all
amb_bang,raw\sound\evt\zombie_theater\telerooms\bang\bang_04.wav,amb_500,,,ambience,95,95,100,100,500,500,log2,log1,allon,rdefault,4,priority,5,reject,-100,100,0,10,50,0,1,3d,loaded,nonlooping,,1,0,95,,default,0,20,120,93,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,65,no,no,0,0,wma,yes,no,world,ambience,no,raw\sound\evt\zombie_theater\telerooms\bang\bang_04.xm4,0,raw\sound\evt\zombie_theater\telerooms\bang\bang_04.mp3,0,raw\sound\evt\zombie_theater\telerooms\bang\bang_04.wav,0,zmb_theater,all
amb_chair,raw\sound\evt\zombie_theater\telerooms\chair_00.wav,amb_500,,,ambience,95,95,100,100,500,500,log2,log1,allon,rdefault,4,priority,5,reject,-100,100,0,10,50,0,1,3d,loaded,nonlooping,,1,0,95,,default,0,20,120,93,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,65,no,no,0,0,wma,yes,no,world,ambience,no,raw\sound\evt\zombie_theater\telerooms\chair_00.xm4,0,raw\sound\evt\zombie_theater\telerooms\chair_00.mp3,0,raw\sound\evt\zombie_theater\telerooms\chair_00.wav,0,zmb_theater,all
amb_chandelier_loop,raw\sound\evt\zombie_theater\chandel_loop.wav,amb_1000,,,ambience,89,89,100,100,1000,1250,log2,log0,allon,rdefault,4,priority,5,reject,-100,100,0,10,50,0,1,3d,loaded,looping,,1,0,95,,default,0,30,400,93,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,65,no,no,0,0,wma,yes,no,world,ambience,no,raw\sound\evt\zombie_theater\chandel_loop_l.xm4,0,raw\sound\evt\zombie_theater\chandel_loop_l.mp3,0,raw\sound\evt\zombie_theater\chandel_loop_l.wav,0,zmb_theater,all
amb_circuit,raw\sound\evt\zombie_common\switch\circuit\circuit_00.wav,amb_1000,,,ambience,95,95,100,100,1000,1000,log2,default,allon,rdefault,4,priority,5,reject,-100,100,0,10,50,0,1,2d,loaded,nonlooping,,1,0,95,,default,0,30,400,93,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,65,no,no,0,0,wma,yes,no,world,ambience,no,raw\sound\evt\zombie_common\switch\circuit\circuit_00.xm4,0,raw\sound\evt\zombie_common\switch\circuit\circuit_00.mp3,0,raw\sound\evt\zombie_common\switch\circuit\circuit_00.wav,0,zmb_theater,all
amb_circuit,raw\sound\evt\zombie_common\switch\circuit\circuit_01.wav,amb_1000,,,ambience,95,95,100,100,1000,1000,log2,default,allon,rdefault,4,priority,5,reject,-100,100,0,10,50,0,1,2d,loaded,nonlooping,,1,0,95,,default,0,30,400,93,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,65,no,no,0,0,wma,yes,no,world,ambience,no,raw\sound\evt\zombie_common\switch\circuit\circuit_01.xm4,0,raw\sound\evt\zombie_common\switch\circuit\circuit_01.mp3,0,raw\sound\evt\zombie_common\switch\circuit\circuit_01.wav,0,zmb_theater,all
amb_circuit,raw\sound\evt\zombie_common\switch\circuit\circuit_02.wav,amb_1000,,,ambience,95,95,100,100,1000,1000,log2,default,allon,rdefault,4,priority,5,reject,-100,100,0,10,50,0,1,2d,loaded,nonlooping,,1,0,95,,default,0,30,400,93,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,65,no,no,0,0,wma,yes,no,world,ambience,no,raw\sound\evt\zombie_common\switch\circuit\circuit_02.xm4,0,raw\sound\evt\zombie_common\switch\circuit\circuit_02.mp3,0,raw\sound\evt\zombie_common\switch\circuit\circuit_02.wav,0,zmb_theater,all
