name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot,voice_limit,file_xenon,file_size_xenon,file_ps3,file_size_ps3,file_pc,file_size_pc,source_csv,language
amb_factory_looper,raw\sound\amb\environment\wind\calm\roomtone\wind_room.wav,amb_bg_2d,,,ambience,94,94,100,0,0,0,default,default,allon,rdefault,5,priority,5,reject,0,0,0,100,100,0,0,2d,streamed,looping,,1,0,96,,quad,0,0,0,0,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,65,no,no,0,0,wma,yes,no,world,ambience,no,discdata\sound\amb\environment\wind\calm\roomtone\wind_room_l.xm4,0,discdata\sound\amb\environment\wind\calm\roomtone\wind_room_l.mp3,0,discdata\sound\amb\environment\wind\calm\roomtone\wind_room_l.wav,0,zmb_tron,all
amb_farm_looper,raw\sound\amb\environment\wind\calm\roomtone\wind_room.wav,amb_bg_2d,,,ambience,94,94,100,0,0,0,default,default,allon,rdefault,5,priority,5,reject,0,0,0,100,100,0,0,2d,streamed,looping,,1,0,96,,quad,0,0,0,0,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,65,no,no,0,0,wma,yes,no,world,ambience,no,discdata\sound\amb\environment\wind\calm\roomtone\wind_room_l.xm4,0,discdata\sound\amb\environment\wind\calm\roomtone\wind_room_l.mp3,0,discdata\sound\amb\environment\wind\calm\roomtone\wind_room_l.wav,0,zmb_tron,all
amb_fire_manager_0,,evt_3d,,,ambience,94,94,100,10000,40000,50000,log3,log2,allon,rdefault,5,priority,5,reject,-88,84,0,25,80,0.25,1,3d,loaded,looping,,1,0,96,,default,0,0,0,0,0,0.5,no,no,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,ambience,no,,0,,0,,0,zmb_tron,all
amb_fire_manager_1,,evt_3d,,,ambience,94,94,100,10000,40000,50000,log3,log2,allon,rdefault,5,priority,5,reject,-88,84,0,25,80,0.25,1,3d,loaded,looping,,1,0,96,,default,0,0,0,0,0,0.5,no,no,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,ambience,no,,0,,0,,0,zmb_tron,all
amb_fire_manager_2,,evt_3d,,,ambience,94,94,100,10000,40000,50000,log3,log2,allon,rdefault,5,priority,5,reject,-88,84,0,25,80,0.25,1,3d,loaded,looping,,1,0,96,,default,0,0,0,0,0,0.5,no,no,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,ambience,no,,0,,0,,0,zmb_tron,all
amb_fire_manager_3,,evt_3d,,,ambience,94,94,100,10000,40000,50000,log3,log2,allon,rdefault,5,priority,5,reject,-88,84,0,25,80,0.25,1,3d,loaded,looping,,1,0,96,,default,0,0,0,0,0,0.5,no,no,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,ambience,no,,0,,0,,0,zmb_tron,all
amb_fire_manager_4,,evt_3d,,,ambience,94,94,100,10000,40000,50000,log3,log2,allon,rdefault,5,priority,5,reject,-88,84,0,25,80,0.25,1,3d,loaded,looping,,1,0,96,,default,0,0,0,0,0,0.5,no,no,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,ambience,no,,0,,0,,0,zmb_tron,all
amb_fire_manager_5,,evt_3d,,,ambience,94,94,100,10000,40000,50000,log3,log2,allon,rdefault,5,priority,5,reject,-88,84,0,25,80,0.25,1,3d,loaded,looping,,1,0,96,,default,0,0,0,0,0,0.5,no,no,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,ambience,no,,0,,0,,0,zmb_tron,all
amb_fire_manager_6,,evt_3d,,,ambience,94,94,100,10000,40000,50000,log3,log2,allon,rdefault,5,priority,5,reject,-88,84,0,25,80,0.25,1,3d,loaded,looping,,1,0,96,,default,0,0,0,0,0,0.5,no,no,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,ambience,no,,0,,0,,0,zmb_tron,all
amb_fire_manager_7,,evt_3d,,,ambience,94,94,100,10000,40000,50000,log3,log2,allon,rdefault,5,priority,5,reject,-88,84,0,25,80,0.25,1,3d,loaded,looping,,1,0,96,,default,0,0,0,0,0,0.5,no,no,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,ambience,no,,0,,0,,0,zmb_tron,all
