name,default,minimum,maximum
fireTime,0.50,0,10
fireDelay,0,0,10
sprintOfsF,0,-300,300
sprintOfsR,0,-300,300
sprintOfsU,0,-300,300
sprintRotP,0,-300,300
sprintRotY,0,-300,300
sprintRotR,0,-300,300
sprintBobH,0,-300,300
sprintBobV,0,-300,300
sprintScale,0,-300,300
damage,0,-300,300
explosionRadius,300,0,10000 
explosionRadiusMin,0,0,10000 
explosionInnerDamage,10,0,10000 
explosionOuterDamage,10,0,10000 
standMoveF,0,-300,300
standMoveR,0,-300,300
standMoveU,0,-300,300
standRotP,0,-300,300
standRotY,0,-300,300
standRotR,0,-300,300
standMoveMinSpeed,0,-300,300
posMoveRate,0,-300,300
standRotMinSpeed,0,-300,300
posRotRate,0,-300,300
duckedOfsR,0,-300,300
proneMoveF,0,-300,300
proneMoveR,0,-300,300
proneMoveU,0,-300,300
proneRotP,0,-300,300
proneRotY,0,-300,300
proneRotR,0,-300,300
proneOfsF,0,-300,300
proneOfsR,0,-300,300
proneOfsU,0,-300,300
proneMoveMinSpeed,0,-300,300
posProneMoveRate,0,-300,300
proneRotMinSpeed,0,-300,300
posProneRotRate,0,-300,300
reloadTime,10,0,300
reloadAddTime,10,0,300
reloadEmptyTime,10,0,300
reloadEmptyAddTime,10,0,300
reloadStartTime,10,0,300
reloadEndTime,10,0,300
reloadStartAddTime,10,0,300
rechamberTime,10,0,300
sprintOfsF,5,-300,300
sprintOfsR,-12,-300,300
sprintOfsU,-15,-300,300
sprintRotP,-20,-300,300
sprintRotY,55,-300,300
sprintRotR,-15,-300,300
sprintBobH,6,0,10
sprintBobV,3,0,10
sprintScale,0.9,0.01,10
